,Make,Model,Year,FuelType,EngineHP,EngineCylinders,Transmission,Drive,NumberOfDoors,MarketCategory,Size,Style,highwaympg,citympg,Popularity,MSRP
2932,Mazda,3,2015,regular unleaded,155,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,40,29,586,18945
2933,Dodge,Challenger,2016,regular unleaded,305,6,AUTOMATIC,rear wheel drive,2,Performance,Large,Coupe,30,19,1851,29995
2934,Acura,Integra,2001,regular unleaded,140,4,AUTOMATIC,front wheel drive,2,"Hatchback,Luxury",Compact,2dr Hatchback,28,21,204,21850
2936,Plymouth,Sundance,1992,regular unleaded,93,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,29,23,535,2000
2937,Cadillac,CTS,2016,premium unleaded (recommended),268,4,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Large,Sedan,31,21,1624,51285
2938,Subaru,Crosstrek,2016,regular unleaded,148,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,34,26,640,25095
2939,Nissan,Juke,2015,premium unleaded (recommended),188,4,AUTOMATIC,front wheel drive,4,"Crossover,Hatchback",Compact,4dr Hatchback,32,28,2009,22300
2940,BMW,Z4,2015,premium unleaded (required),335,6,AUTOMATED_MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Convertible,24,17,3916,65800
2941,Volkswagen,Golf GTI,2015,premium unleaded (recommended),210,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,25,873,31145
2944,Volkswagen,CC,2015,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,4,Performance,Midsize,Sedan,31,22,873,35375
2945,Ford,Taurus X,2009,regular unleaded,263,6,AUTOMATIC,all wheel drive,4,Crossover,Large,Wagon,22,15,5657,34175
2946,Mazda,Tribute,2011,regular unleaded,171,4,MANUAL,front wheel drive,4,Crossover,Compact,4dr SUV,28,23,586,20555
2948,Mazda,Mazdaspeed Protege,2003,premium unleaded (required),170,4,MANUAL,front wheel drive,4,"Factory Tuner,Performance",Compact,Sedan,27,21,586,19980
2949,Volkswagen,Routan,2012,flex-fuel (unleaded/E85),283,6,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Passenger Minivan,25,17,873,39890
2952,GMC,Sierra 1500,2015,flex-fuel (unleaded/E85),285,6,AUTOMATIC,rear wheel drive,4,Flex Fuel,Large,Crew Cab Pickup,24,18,549,35390
2953,Mazda,MX-5 Miata,2015,premium unleaded (recommended),158,4,AUTOMATIC,rear wheel drive,2,Performance,Compact,Convertible,28,21,586,28650
2954,Infiniti,G37,2009,premium unleaded (required),328,6,MANUAL,rear wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,25,17,190,34250
2955,Toyota,Land Cruiser,2017,regular unleaded,381,8,AUTOMATIC,four wheel drive,4,Luxury,Midsize,4dr SUV,18,13,2031,84325
2956,Acura,Integra,2001,regular unleaded,140,4,MANUAL,front wheel drive,4,Luxury,Compact,Sedan,28,22,204,20200
2957,Chrysler,300,2017,regular unleaded,300,6,AUTOMATIC,rear wheel drive,4,Performance,Large,Sedan,30,19,1013,36170
2960,Land Rover,Range Rover,2016,premium unleaded (recommended),510,8,AUTOMATIC,four wheel drive,4,"Luxury,High-Performance",Large,4dr SUV,19,14,258,144995
2962,Infiniti,G37,2009,premium unleaded (required),330,6,MANUAL,rear wheel drive,2,"Luxury,High-Performance",Midsize,Coupe,25,17,190,37000
2964,Cadillac,ATS Coupe,2016,premium unleaded (recommended),272,4,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Compact,Coupe,30,22,1624,40445
2965,Subaru,Impreza WRX,2014,premium unleaded (required),305,4,MANUAL,all wheel drive,4,"Hatchback,Factory Tuner,High-Performance",Compact,4dr Hatchback,23,17,640,36495
2966,Volvo,V50,2011,regular unleaded,227,5,AUTOMATIC,front wheel drive,4,Luxury,Compact,Wagon,30,21,870,29000
2969,Chevrolet,Malibu Hybrid,2009,regular unleaded,164,4,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Sedan,34,26,1385,25555
2970,Mazda,B-Series Pickup,1999,flex-fuel (unleaded/E85),150,6,MANUAL,four wheel drive,4,Flex Fuel,Compact,Extended Cab Pickup,20,16,586,3206
2972,Lotus,Esprit,2003,premium unleaded (required),350,8,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,21,14,613,90825
2973,BMW,5 Series Gran Turismo,2017,premium unleaded (required),300,6,AUTOMATIC,rear wheel drive,4,"Hatchback,Luxury,Performance",Large,4dr Hatchback,27,19,3916,60900
2977,Audi,Q5,2015,premium unleaded (required),220,4,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,28,20,3105,42200
2979,Lotus,Evora,2013,premium unleaded (required),276,6,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,26,18,613,68300
2980,Maserati,GranTurismo,2016,premium unleaded (required),454,8,AUTOMATIC,rear wheel drive,2,"Exotic,Factory Tuner,Luxury,High-Performance",Large,Coupe,21,13,238,150570
2981,Toyota,Prius c,2014,regular unleaded,99,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,46,53,2031,23360
2982,Alfa Romeo,4C,2015,premium unleaded (required),237,4,AUTOMATED_MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Convertible,34,24,113,63900
2983,Volkswagen,GTI,2012,premium unleaded (recommended),200,4,MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,31,21,873,30595
2984,Volvo,XC70,2015,regular unleaded,240,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,Wagon,25,18,870,37550
2985,Aston Martin,DB9 GT,2016,premium unleaded (required),540,12,AUTOMATIC,rear wheel drive,2,"Exotic,High-Performance",Midsize,Coupe,19,13,259,235307
2986,Dodge,Nitro,2010,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Crossover,Midsize,4dr SUV,21,15,1851,23250
2989,Scion,tC,2014,regular unleaded,179,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,31,23,105,19210
2990,Nissan,GT-R,2015,premium unleaded (recommended),600,6,AUTOMATED_MANUAL,all wheel drive,2,"Factory Tuner,High-Performance",Midsize,Coupe,23,16,2009,149990
2992,Kia,Sorento,2017,regular unleaded,240,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,27,20,1720,31500
2995,Chevrolet,Trax,2016,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,34,26,1385,20300
2996,Volkswagen,Golf GTI,2016,premium unleaded (recommended),210,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,25,873,29725
2998,Infiniti,FX,2011,premium unleaded (required),303,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,21,16,190,44050
2999,Dodge,Dakota,2010,regular unleaded,210,6,AUTOMATIC,rear wheel drive,4,Flex Fuel,Compact,Crew Cab Pickup,20,15,1851,26325
3001,Toyota,Highlander,2016,regular unleaded,270,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,25,19,2031,43530
3002,Cadillac,XT5,2017,premium unleaded (required),310,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,27,19,1624,44895
3003,Volkswagen,Tiguan,2017,premium unleaded (recommended),200,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,24,20,873,34580
3005,Hyundai,Santa Fe Sport,2016,regular unleaded,190,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,25,19,1439,26700
3006,Ford,F-150,2017,flex-fuel (unleaded/E85),385,8,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Crew Cab Pickup,21,15,5657,53704
3007,Chrysler,Crossfire,2006,premium unleaded (required),215,6,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,23,15,1013,29145
3008,Mercedes-Benz,S-Class,2016,premium unleaded (required),449,8,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Large,Sedan,26,17,617,95650
3009,Toyota,Corolla iM,2017,regular unleaded,137,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,27,2031,18750
3012,Toyota,Avalon,2017,regular unleaded,268,6,AUTOMATIC,front wheel drive,4,Performance,Midsize,Sedan,30,21,2031,37650
3013,Subaru,Forester,2016,regular unleaded,170,4,MANUAL,all wheel drive,4,Crossover,Midsize,4dr SUV,29,22,640,25295
3016,Nissan,Titan,2015,regular unleaded,317,8,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Extended Cab Pickup,17,12,2009,38170
3017,Cadillac,DeVille,2005,regular unleaded,275,8,AUTOMATIC,front wheel drive,4,Luxury,Large,Sedan,22,15,1624,46430
3018,Lincoln,Aviator,2005,premium unleaded (required),302,8,AUTOMATIC,all wheel drive,4,Luxury,Midsize,4dr SUV,16,11,61,43585
3019,Lexus,HS 250h,2011,regular unleaded,187,4,AUTOMATIC,front wheel drive,4,"Luxury,Hybrid",Midsize,Sedan,34,35,454,39100
3022,Ford,E-Series Wagon,2014,flex-fuel (unleaded/E85),255,8,AUTOMATIC,rear wheel drive,3,Flex Fuel,Midsize,Passenger Van,15,11,5657,35860
3023,Audi,A3,2015,premium unleaded (recommended),170,4,AUTOMATED_MANUAL,front wheel drive,2,Luxury,Compact,Convertible,35,24,3105,38150
3025,Chevrolet,Trax,2016,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,34,26,1385,25230
3026,Volkswagen,Beetle Convertible,2016,premium unleaded (recommended),210,4,MANUAL,front wheel drive,2,Performance,Compact,Convertible,31,23,873,31570
3027,Ford,Fiesta,2015,regular unleaded,120,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,36,28,5657,14855
3028,Lexus,LS 460,2015,premium unleaded (required),386,8,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Large,Sedan,24,16,454,72520
3033,Volkswagen,Beetle,2015,regular unleaded,170,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,24,873,23605
3035,Toyota,Matrix,2013,regular unleaded,158,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,28,21,2031,20265
3036,Land Rover,LR2,2014,premium unleaded (recommended),240,4,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Compact,4dr SUV,24,17,258,36600
3038,Dodge,Dakota,2009,regular unleaded,210,6,AUTOMATIC,rear wheel drive,4,Flex Fuel,Compact,Crew Cab Pickup,20,15,1851,26405
3040,Toyota,Prius,2016,regular unleaded,121,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,53,58,2031,24700
3041,Pontiac,G3,2009,regular unleaded,106,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,27,210,14335
3044,FIAT,500X,2017,regular unleaded,180,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,29,21,819,25235
3045,Cadillac,ATS,2016,regular unleaded,335,6,AUTOMATIC,all wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,28,19,1624,49210
3046,Chevrolet,Equinox,2017,regular unleaded,182,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,28,20,1385,28500
3047,Cadillac,XTS,2015,regular unleaded,304,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Large,Sedan,26,17,1624,64245
3049,Chevrolet,Express,2015,flex-fuel (unleaded/E85),285,8,AUTOMATIC,rear wheel drive,3,Flex Fuel,Large,Passenger Van,17,11,1385,36355
3051,Mercedes-Benz,C-Class,2015,premium unleaded (required),241,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,31,24,617,40400
3052,Lotus,Elise,2009,premium unleaded (required),189,4,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Convertible,27,21,613,47250
3053,Subaru,Crosstrek,2016,regular unleaded,148,4,MANUAL,all wheel drive,4,Crossover,Compact,4dr SUV,31,23,640,21595
3057,Aston Martin,DB9,2013,premium unleaded (required),510,12,AUTOMATIC,rear wheel drive,2,"Exotic,High-Performance",Midsize,Coupe,19,13,259,183700
3058,Kia,Sorento,2015,regular unleaded,290,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,25,18,1720,36700
3059,Mercedes-Benz,S-Class,2016,premium unleaded (required),449,8,AUTOMATIC,all wheel drive,2,"Luxury,High-Performance",Large,Coupe,24,16,617,121550
3060,Lamborghini,Gallardo,2013,premium unleaded (required),570,10,AUTOMATED_MANUAL,all wheel drive,2,"Exotic,Factory Tuner,High-Performance",Compact,Convertible,20,13,1158,248000
3061,Maserati,Ghibli,2016,premium unleaded (required),345,6,AUTOMATIC,rear wheel drive,4,"Exotic,Luxury,High-Performance",Midsize,Sedan,24,17,238,70600
3063,Lincoln,MKS,2014,regular unleaded,304,6,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Large,Sedan,28,19,61,38850
3064,Mercedes-Benz,500-Class,1993,regular unleaded,315,8,AUTOMATIC,rear wheel drive,2,Luxury,Large,Coupe,16,12,617,3176
3066,Nissan,350Z,2009,regular unleaded,306,6,MANUAL,rear wheel drive,2,High-Performance,Compact,Convertible,24,17,2009,39220
3068,Suzuki,XL7,2009,regular unleaded,252,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,23,16,481,29930
3069,Bentley,Continental GT,2016,premium unleaded (required),521,8,AUTOMATIC,all wheel drive,2,"Exotic,Factory Tuner,Luxury,High-Performance",Midsize,Convertible,24,14,520,231800
3070,Kia,Forte,2016,regular unleaded,173,4,AUTOMATIC,front wheel drive,4,Performance,Compact,Sedan,35,24,1720,19990
3072,Toyota,RAV4,2017,regular unleaded,176,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,29,23,2031,34750
3073,Honda,Pilot,2017,regular unleaded,280,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,26,19,2202,43470
3074,Buick,Encore,2016,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,33,25,155,24065
3075,Infiniti,G Sedan,2012,premium unleaded (recommended),328,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,25,18,190,41850
3077,GMC,Terrain,2015,regular unleaded,182,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,29,20,549,28310
3079,Lotus,Elise,2009,premium unleaded (required),189,4,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Convertible,27,21,613,43995
3080,Lexus,GS 350,2016,premium unleaded (required),311,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,26,19,454,50470
3082,Lexus,LS 460,2017,premium unleaded (required),359,8,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Large,Sedan,23,16,454,82305
3084,Hyundai,Tucson,2016,regular unleaded,164,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,31,23,1439,22700
3085,Mazda,Tribute Hybrid,2008,regular unleaded,133,4,AUTOMATIC,front wheel drive,4,"Crossover,Hybrid",Compact,4dr SUV,30,34,586,25485
3086,Infiniti,Q50,2015,premium unleaded (recommended),328,6,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,29,20,190,40000
3088,Maserati,Ghibli,2017,premium unleaded (required),404,6,AUTOMATIC,rear wheel drive,4,"Exotic,Luxury,High-Performance",Midsize,Sedan,24,16,238,77200
3089,Mitsubishi,Outlander Sport,2017,regular unleaded,168,4,AUTOMATIC,four wheel drive,4,Crossover,Compact,4dr SUV,27,22,436,27695
3090,Audi,RS 4,2007,premium unleaded (required),420,8,MANUAL,all wheel drive,4,"Factory Tuner,Luxury,High-Performance",Compact,Sedan,20,13,3105,66000
3091,Volkswagen,Jetta GLI,2013,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,22,873,28425
3092,Ford,Escape,2015,premium unleaded (recommended),178,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,32,23,5657,29735
3093,Mitsubishi,Eclipse,2010,regular unleaded,162,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,27,20,436,21699
3094,Dodge,Dakota,2010,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Flex Fuel,Compact,Extended Cab Pickup,18,14,1851,27005
3095,Nissan,370Z,2017,premium unleaded (required),350,6,AUTOMATIC,rear wheel drive,2,"Factory Tuner,High-Performance",Compact,Coupe,26,19,2009,43290
3096,Toyota,Yaris,2017,regular unleaded,106,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,30,2031,17285
3097,Dodge,Daytona,1991,regular unleaded,100,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,31,21,1851,2000
3099,Kia,Sportage,2015,regular unleaded,182,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,28,21,1720,21900
3100,Saab,3-Sep,2010,premium unleaded (recommended),207,4,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,31,21,376,28900
3101,Hyundai,Santa Fe Sport,2016,regular unleaded,190,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,27,20,1439,24950
3102,Suzuki,XL7,2007,regular unleaded,252,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,22,16,481,25399
3104,Porsche,Boxster,2015,premium unleaded (required),315,6,MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Convertible,28,20,1715,63300
3107,Audi,RS 5,2015,premium unleaded (required),450,8,AUTOMATED_MANUAL,all wheel drive,2,"Factory Tuner,Luxury,High-Performance",Midsize,Convertible,22,16,3105,79200
3109,Infiniti,G Coupe,2012,premium unleaded (recommended),330,6,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Coupe,27,19,190,39250
3112,Volkswagen,Jetta,2015,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,"Factory Tuner,Performance",Midsize,Sedan,33,23,873,29280
3113,Lincoln,Continental,2002,premium unleaded (required),275,8,AUTOMATIC,front wheel drive,4,Luxury,Large,Sedan,23,15,61,38185
3114,Volkswagen,Beetle,2015,regular unleaded,170,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,25,873,26195
3116,BMW,3 Series,2017,premium unleaded (recommended),180,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,35,23,3916,33450
3118,BMW,3 Series Gran Turismo,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,34,22,3916,43000
3121,Mercedes-Benz,M-Class,2013,premium unleaded (required),302,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,23,18,617,49770
3122,Mercedes-Benz,SL-Class,2015,premium unleaded (required),621,12,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,21,14,617,214500
3124,Toyota,RAV4,2017,regular unleaded,176,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,30,23,2031,24910
3125,Volvo,S60,2016,regular unleaded,302,4,AUTOMATIC,front wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,33,23,870,43300
3126,Volkswagen,Golf SportWagen,2015,diesel,150,4,AUTOMATED_MANUAL,front wheel drive,4,Diesel,Compact,Wagon,42,31,873,31445
3127,Honda,CR-V,2016,regular unleaded,185,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,33,26,2202,28445
3128,Chevrolet,Silverado 1500 Hybrid,2013,regular unleaded,332,8,AUTOMATIC,rear wheel drive,4,Hybrid,Large,Crew Cab Pickup,23,20,1385,47915
3129,Pontiac,Vibe,2010,regular unleaded,132,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,32,26,210,16100
3131,Cadillac,SRX,2015,regular unleaded,308,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,24,17,1624,43640
3132,Suzuki,XL7,2008,regular unleaded,252,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,22,15,481,26699
3133,Chevrolet,Black Diamond Avalanche,2013,flex-fuel (unleaded/E85),320,8,AUTOMATIC,four wheel drive,4,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,41675
3134,Honda,Crosstour,2015,regular unleaded,278,6,AUTOMATIC,front wheel drive,4,"Crossover,Hatchback",Midsize,4dr Hatchback,30,20,2202,33840
3136,Scion,tC,2016,regular unleaded,179,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,31,23,105,24340
3137,Hyundai,Equus,2015,premium unleaded (recommended),429,8,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Large,Sedan,23,15,1439,61500
3138,Lexus,LS 460,2015,premium unleaded (required),386,8,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Large,Sedan,24,16,454,84500
3139,GMC,Sierra 1500,2017,flex-fuel (unleaded/E85),285,6,AUTOMATIC,rear wheel drive,4,Flex Fuel,Large,Crew Cab Pickup,24,18,549,40025
3140,Cadillac,XTS,2016,regular unleaded,304,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Large,Sedan,26,17,1624,57935
3142,Chevrolet,Silverado 1500 Hybrid,2012,regular unleaded,332,8,AUTOMATIC,rear wheel drive,4,Hybrid,Large,Crew Cab Pickup,23,20,1385,39640
3143,Subaru,Forester,2017,premium unleaded (required),250,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,27,23,640,34295
3144,Lincoln,MKX,2016,regular unleaded,303,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,26,17,61,55970
3145,Ford,Edge,2015,premium unleaded (recommended),245,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,30,20,5657,35600
3146,Cadillac,ATS,2016,regular unleaded,335,6,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,30,20,1624,41340
3148,Buick,Rendezvous,2005,regular unleaded,185,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,24,17,155,26780
3149,Infiniti,Q50,2017,premium unleaded (required),300,6,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,29,20,190,40650
3151,Ford,Mustang,2015,premium unleaded (recommended),310,4,MANUAL,rear wheel drive,2,High-Performance,Midsize,Coupe,31,22,5657,25300
3153,Chevrolet,Express,2016,flex-fuel (unleaded/E85),285,8,AUTOMATIC,rear wheel drive,3,Flex Fuel,Midsize,Passenger Van,16,11,1385,32990
3154,Land Rover,Range Rover Sport,2015,flex-fuel (premium unleaded required/E85),340,6,AUTOMATIC,four wheel drive,4,"Flex Fuel,Luxury,Performance",Midsize,4dr SUV,23,17,258,68295
3156,GMC,Sierra 1500,2015,flex-fuel (unleaded/E85),285,6,AUTOMATIC,rear wheel drive,4,Flex Fuel,Large,Extended Cab Pickup,24,18,549,36200
3157,Mercedes-Benz,560-Class,1991,regular unleaded,238,8,AUTOMATIC,rear wheel drive,4,Luxury,Large,Sedan,16,12,617,2304
3158,Chevrolet,Equinox,2017,regular unleaded,182,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,32,22,1385,26750
3159,Aston Martin,DBS,2011,premium unleaded (required),510,12,AUTOMATIC,rear wheel drive,2,"Exotic,Factory Tuner,High-Performance",Midsize,Coupe,18,12,259,273104
3161,Mazda,3,2016,regular unleaded,155,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,40,29,586,18545
3162,Acura,TSX,2014,premium unleaded (recommended),201,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,31,22,204,33735
3163,Chrysler,Sebring,2010,regular unleaded,173,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,30,21,1013,22115
3164,Toyota,Prius Prime,2017,regular unleaded,121,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,53,55,2031,27100
3165,Kia,Forte,2017,regular unleaded,201,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,30,25,1720,23690
3166,Chevrolet,Silverado 1500,2015,flex-fuel (unleaded/E85),285,6,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Crew Cab Pickup,22,17,1385,39540
3167,Volkswagen,GTI,2012,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,24,873,27975
3168,Lexus,NX 200t,2017,premium unleaded (required),235,4,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,27,22,454,38585
3169,Cadillac,STS,2011,regular unleaded,302,6,AUTOMATIC,rear wheel drive,4,Luxury,Large,Sedan,27,18,1624,47280
3171,Acura,Legend,1995,regular unleaded,230,6,MANUAL,front wheel drive,2,"Luxury,Performance",Midsize,Coupe,24,16,204,2506
3172,Mercedes-Benz,300-Class,1992,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,22,16,617,2065
3174,Chevrolet,Equinox,2016,regular unleaded,182,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,32,22,1385,22600
3177,Suzuki,Swift,1999,regular unleaded,79,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,39,33,481,2000
3180,Volvo,S70,2000,regular unleaded,190,5,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,24,17,870,2430
3181,Mazda,3,2017,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Performance,Midsize,Sedan,36,27,586,24195
3182,Volkswagen,Golf R,2016,premium unleaded (recommended),292,4,MANUAL,all wheel drive,4,"Hatchback,Factory Tuner,High-Performance",Compact,4dr Hatchback,31,22,873,37895
3183,Cadillac,CTS Wagon,2013,regular unleaded,318,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Wagon,26,18,1624,46090
3184,Lamborghini,Aventador,2016,premium unleaded (required),700,12,AUTOMATED_MANUAL,all wheel drive,2,"Exotic,High-Performance",Midsize,Coupe,18,11,1158,399500
3185,Aston Martin,DBS,2012,premium unleaded (required),510,12,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Midsize,Convertible,17,11,259,290461
3188,Lincoln,MKC,2017,regular unleaded,240,4,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Compact,4dr SUV,25,19,61,41895
3189,Rolls-Royce,Ghost,2012,premium unleaded (required),563,12,AUTOMATIC,rear wheel drive,4,"Exotic,Luxury,Performance",Large,Sedan,20,13,86,250000
3190,Genesis,G80,2017,regular unleaded,311,6,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Large,Sedan,28,18,21,41400
3191,Cadillac,XTS,2016,regular unleaded,304,6,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Large,Sedan,28,18,1624,55705
3194,Buick,Enclave,2015,regular unleaded,288,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,24,17,155,39050
3195,Honda,Element,2011,regular unleaded,166,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,24,19,2202,22075
3196,Hyundai,Tucson,2016,regular unleaded,175,4,AUTOMATED_MANUAL,front wheel drive,4,Crossover,Compact,4dr SUV,30,25,1439,29900
